Sample ID,Site name,Sample Collection Date,Lat,Lon,Type,Drainage area_mi2,
10011500,Bear River near Utah-Wyoming State Line,,40.96523,-110.854,River_or_stream,172,
10014000,"Bear River above Sulphur Creek, NR Evanston, WY",,41.16661375,-110.880733,River_or_stream,282,
10016900,"Bear River at Evanston, WY",,41.2698611,-110.9636944,River_or_stream,443,
10038000,"Bear River below Smiths Fork, near Cokeville, WY",,42.12604658,-110.9737986,River_or_stream,2447,
10046000,"Rainbow Inlet Canal near Dingle, ID",,42.229929,-111.296,River_or_stream,0.01,
10054600,"St. Charles Creek above div near St. Charles, ID",,42.109651,-111.4591,River_or_stream,17.4,
10058600,"Bloomington Creek at Bloomington, ID",,42.185278,-111.4308,River_or_stream,24,
10059500,"Bear Lake outlet canal near Paris, ID",,42.216595,-111.3438,River_or_stream,nan,
10060500,"Paris Creek near Paris, ID",,42.211944,-111.45,River_or_stream,18.3,discon
UTAHDWQ_WQX-4907100,Big Creek above Bear Lake,,41.8391,-111.32964,River_or_stream,,
UTAHDWQ_WQX-4907120,North Eden Canyon Creek at Cisco Road Pedestrian Crossing,,41.98577,-111.25631,River_or_stream,,
UTAHDWQ_WQX-4907200,Swan Creek above Bear Lake,,41.98549,-111.41187,River_or_stream,,
10044300,"Dingle Inlet Canal near Dingle, ID",,42.205485,-111.2696,River_or_stream,nan,
10026500,"Bear River near Randolph, UT",,41.798139,-111.0706,River_or_stream,1616,
10068500,"Bear Lake at Pescadero, ID",,42.4015929,-111.356875,River_or_stream,3705,
10075000,"Bear River at Soda Springs, ID",,42.613889,-111.582778,River_or_stream,3970,
10079500,"Bear River at Alexander, ID",,42.645,-111.6975,River_or_stream,4093,
10080000,"Bear River below Grace Dam, near Grace, ID",,42.586389,-111.730833,River_or_stream,4110,
10092700,Bear River at Idaho-Utah State Line,,42.013056,-111.920556,River_or_stream,4884,
10118000 ,"Bear River near Collinston, UT",,41.834167,-112.054444,River_or_stream,6271,
10126000 ,"Bear River near Corinne, UT",,41.576389,-112.1,River_or_stream,7029,
